00:00:06.160 -> 00:00:07.040 | 大家好
00:16:52.970 -> 00:16:56.029 | 还有就是这个华为的罗瓦14
00:16:56.029 -> 00:16:56.990 | 这台手机
00:16:56.990 -> 00:17:01.570 | 两个产品分别趴已经上我们的海鲜市场啦
00:17:01.570 -> 00:17:05.828 | 有兴趣和需要的小伙伴去看一看
00:17:05.828 -> 00:17:09.409 | 接下来就咱们看一下上电视的内容是什么呢
00:17:09.409 -> 00:17:12.009 | 这位煮咖啡的coffee
00:17:12.009 -> 00:17:15.690 | 这位网友他说这集是摄影师来配音
00:17:15.690 -> 00:17:19.220 | 更加印证了之前的配音君离职传闻
00:17:19.220 -> 00:17:22.220 | 有没有可能配音君就是摄影师呢
00:17:22.220 -> 00:17:25.339 | 因为配音君和不戴口罩的摄影师
00:17:25.339 -> 00:17:27.039 | 就没一起出现过
00:17:27.039 -> 00:17:29.880 | 科比9785的网友
00:17:29.880 -> 00:17:32.338 | 他说我用了几个月
00:17:32.338 -> 00:17:35.939 | 感觉最大的问题是很多曲谱有问题
00:17:35.939 -> 00:17:37.878 | 曲谱错误率太多
00:17:37.878 -> 00:17:39.888 | 歌还少呃
00:17:39.888 -> 00:17:41.288 | 呃我也有同感
00:17:41.288 -> 00:17:43.169 | LIBLIVE里面的曲谱啊
00:17:43.169 -> 00:17:46.099 | 很多都是网友自己自传的
00:17:46.099 -> 00:17:46.619 | 呃
00:17:46.619 -> 00:17:49.230 | 错误率呢是有那么一点点高
00:17:49.230 -> 00:17:52.309 | 好如果你觉得这期节目做的还有意思的话呢
00:17:52.309 -> 00:17:54.589 | 别忘了给我们来一个一键三连
00:17:54.589 -> 00:17:56.940 | 然后用爱发电言啊
00:17:56.940 -> 00:17:59.750 | 支持我们制作更多有意思的节目
00:17:59.750 -> 00:18:00.930 | Test way
00:18:00.930 -> 00:18:04.219 | Bunny try before you buy
00:18:04.459 -> 00:18:07.098 | 今天又要邀请小张到我家去玩电视机
00:18:07.098 -> 00:18:12.099 | 唉我就知道他终究还是被我的魅力所折服
00:18:12.180 -> 00:18:19.980 | 为什么难过
00:18:33.240 -> 00:18:34.079 | Rock your body
00:18:34.079 -> 00:18:36.319 | Body rocking to the beat
00:18:36.319 -> 00:18:37.880 | Electric girls on pumpkin
00:18:37.880 -> 00:18:38.599 | Pico tech
00:18:38.599 -> 00:18:39.359 | A nobody
00:18:39.359 -> 00:18:40.660 | I hit the body
00:18:40.660 -> 00:18:44.559 | 我能为你做如何含泪
